epoch,model,train_rmse,val_rmse
1,shallow,1.4876,1.2047
2,shallow,1.2063,1.0819
3,shallow,1.1337,1.2077
4,shallow,1.1127,1.0137
5,shallow,1.0603,0.9879
6,shallow,1.1845,1.0035
7,shallow,0.9823,0.9931
8,shallow,0.9675,0.9589
9,shallow,0.9801,1.002
10,shallow,0.9643,1.1465
11,shallow,0.9285,1.0614
12,shallow,1.0513,1.4992
13,shallow,0.9236,0.9493
14,shallow,0.9367,0.9303
15,shallow,0.9032,0.9366
16,shallow,0.9311,0.9938
17,shallow,0.9158,0.9237
18,shallow,0.8987,0.9007
19,shallow,0.9027,1.0088
20,shallow,0.9686,0.8996
21,shallow,0.8897,0.904
22,shallow,0.8862,0.8788
23,shallow,0.8595,0.9145
24,shallow,0.8611,0.9474
25,shallow,0.9343,1.2347
26,shallow,0.8548,0.8657
27,shallow,0.914,0.9086
28,shallow,0.858,0.9101
29,shallow,0.8673,0.8555
30,shallow,0.8635,0.8512
31,shallow,0.894,1.1085
32,shallow,0.8715,0.8653
33,shallow,0.8073,0.8469
34,shallow,0.8203,0.8548
35,shallow,0.8278,0.856
36,shallow,0.8453,0.9855
37,shallow,0.8197,0.8406
38,shallow,0.8319,0.872
39,shallow,0.8613,0.9928
40,shallow,0.7973,0.889
41,shallow,0.8508,0.8569
42,shallow,0.863,0.9978
43,shallow,0.8187,0.9509
44,shallow,0.773,0.8144
45,shallow,0.7602,0.8931
46,shallow,0.8078,0.8789
47,shallow,0.802,0.8271
48,shallow,0.7495,0.865
49,shallow,0.7381,0.8004
50,shallow,0.7396,0.7962
51,shallow,0.7576,0.7921
52,shallow,0.7932,0.8036
53,shallow,0.7305,0.8638
54,shallow,0.7343,0.8005
55,shallow,0.7466,0.8
56,shallow,0.7345,0.7958
57,shallow,0.7209,0.8125
58,shallow,0.717,0.8651
59,shallow,0.7122,0.7904
60,shallow,0.7114,0.7837
61,shallow,0.7248,0.7747
62,shallow,0.7148,0.7774
63,shallow,0.7055,0.7795
64,shallow,0.7118,0.8729
65,shallow,0.7115,0.7721
66,shallow,0.7017,0.7979
67,shallow,0.7164,0.7711
68,shallow,0.7006,0.793
69,shallow,0.7033,0.7661
70,shallow,0.7096,0.76
71,shallow,0.6966,0.7732
72,shallow,0.6977,0.8018
73,shallow,0.6961,0.8112
74,shallow,0.6929,0.7607
75,shallow,0.7314,0.7773
76,shallow,0.6999,0.7907
77,shallow,0.6886,0.7709
78,shallow,0.6872,0.7747
79,shallow,0.6921,0.8372
80,shallow,0.6826,0.7961
81,shallow,0.6833,0.7553
82,shallow,0.6808,0.7539
83,shallow,0.6831,0.7527
84,shallow,0.6794,0.752
85,shallow,0.6811,0.7774
86,shallow,0.6798,0.7545
